v_tp,rv_tp,group,srcfile
3.87744361877834,96317.719076155,1,1
3.27148322437569,81575.1611788961,1,2
3.33541728290625,85348.8525046528,1,3
3.87763769172959,99161.0293937965,1,4
6.71663250977494,166265.079354208,1,5
3.80083380301943,103803.30541529,1,6
3.8457557953409,93323.7033259126,1,7
4.10140708768245,100599.341033183,1,8
3.69333127726795,91022.645847317,1,9
3.87816528533315,99044.7623581412,1,10
14.9969166280229,444057.200979686,3,12
24.2194204424955,696759.710069382,2,13
22.0827748658348,633639.751510742,2,14
22.0908261676124,632787.456575051,2,15
6.93409859238736,191374.127311952,2,16
14.1765727561776,421086.688674514,2,17
23.6683014861378,681382.408256619,2,18
21.3529134285033,578514.660078782,2,19
21.3529134285033,578514.660078782,2,20
21.1627903957969,688659.416260941,4,21
20.2333423167548,644193.686953424,3,22
14.6146468596362,466819.380799554,3,23
20.4590635583893,657588.977759021,3,24
14.0932971832641,447609.31350169,3,25
20.9526418423984,677676.720034631,3,26
21.6447191641042,697533.451149761,3,27
4.58879522219968,131164.869309611,3,28
19.9955003683534,644119.942050328,3,29
21.6447191641042,697533.451149761,3,30
6.49859903902082,182180.467731563,5,31
3.27344722922563,85561.1148152676,4,32
11.4558131341004,301356.283565817,4,33
6.54822676790301,187221.579938165,4,34
7.14535149908512,207642.759431487,4,35
6.42651317002782,175919.768793378,4,36
12.1933968719089,335709.123967194,4,37
7.54040076561799,208855.164738509,4,38
6.84992100912988,202153.383816453,6,39
14.3372820422493,402769.125769907,7,41
18.7687403257972,493659.809958678,6,42
13.1142944043453,365621.396429351,6,43
10.7811165741649,278305.855495951,6,44
21.2145470710198,542532.504910677,6,45
6.68975310083839,155790.140656263,6,46
6.27104956521825,163002.481908856,6,47
6.68975310083839,155790.140656263,6,48
12.0673779111874,325130.174236565,8,49
7.82566839429711,234492.789472421,9,51
5.97019678024968,157114.586534594,8,52
5.97019678024968,157114.586534594,8,54
3.89183049083405,103040.627572838,10,55
3.73685070910139,99119.3235761303,9,56
3.18022203356516,81231.5216901372,9,57
3.51260124165602,90383.6171883254,9,58
3.3972992758361,83955.5600535916,9,59
2.96040666819761,76890.1200651524,9,60
12.2508166316337,322819.386269058,11,61
9.90314905909701,250741.208440693,10,63
11.1097175926203,296239.013753526,10,64
12.1013203159997,326593.676156812,10,65
3.64832849445127,98260.2765135528,12,66
6.42563113121199,170147.258163127,10,67
6.29943393275677,154726.725345914,11,68
12.1679175797994,333751.13777383,11,69
12.1679175797994,333751.13777383,11,70
